2026-02-25 09:48:06 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 10:24:47 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 10:24:47 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 10:24:47 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 10:32:12 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 10:32:12 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 10:32:15 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 10:32:15 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 10:32:15 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 10:32:15 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 10:45:24 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 10:45:24 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 10:45:27 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 10:45:27 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 10:45:27 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 10:45:27 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 10:59:36 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 10:59:36 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 10:59:39 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 10:59:39 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 10:59:39 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 10:59:39 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 11:00:20 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-25 11:00:20 | INFO     | agent:set_database_context:159 | Setting database context: dbma_db
2026-02-25 11:00:20 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-25 11:00:20 | INFO     | mysql_manager:get_full_database_schema:327 | Extracting full schema for database: dbma_db
2026-02-25 11:00:20 | INFO     | persistence:save_schema_cache:378 | Schema cached for thread=thread_83cbff88cad849f966069413c4cb9bdc tables=0
2026-02-25 11:00:20 | INFO     | agent:_refresh_schema:193 | Schema extracted and cached: 0 tables
2026-02-25 11:00:20 | INFO     | agent:set_database_context:173 | Loaded thread thread_83cbff88cad849f966069413c4cb9bdc with 0 historical messages
2026-02-25 11:00:20 | INFO     | persistence:load_chat_history:279 | Loaded 0 messages for thread: thread_83cbff88cad849f966069413c4cb9bdc
2026-02-25 11:16:19 | INFO     | mysql_manager:use_database:126 | Switched to database: hospital_database
2026-02-25 11:16:19 | INFO     | agent:set_database_context:159 | Setting database context: hospital_database
2026-02-25 11:16:19 | INFO     | mysql_manager:use_database:126 | Switched to database: hospital_database
2026-02-25 11:16:19 | INFO     | mysql_manager:get_full_database_schema:327 | Extracting full schema for database: hospital_database
2026-02-25 11:16:19 | INFO     | persistence:save_schema_cache:378 | Schema cached for thread=thread_fa0cca9b014b55911dc56c38762bc40c tables=3
2026-02-25 11:16:19 | INFO     | agent:_refresh_schema:193 | Schema extracted and cached: 3 tables
2026-02-25 11:16:19 | INFO     | agent:set_database_context:173 | Loaded thread thread_fa0cca9b014b55911dc56c38762bc40c with 0 historical messages
2026-02-25 11:16:19 | INFO     | persistence:load_chat_history:279 | Loaded 0 messages for thread: thread_fa0cca9b014b55911dc56c38762bc40c
2026-02-25 11:21:18 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 11:21:18 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 11:21:21 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 11:21:21 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 11:21:21 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 11:21:21 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 11:22:04 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-25 11:22:04 | INFO     | agent:set_database_context:159 | Setting database context: dbma_db
2026-02-25 11:22:04 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-25 11:22:04 | INFO     | agent:set_database_context:173 | Loaded thread thread_83cbff88cad849f966069413c4cb9bdc with 10 historical messages
2026-02-25 11:22:04 | INFO     | persistence:load_chat_history:279 | Loaded 10 messages for thread: thread_83cbff88cad849f966069413c4cb9bdc
2026-02-25 11:24:23 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 11:24:23 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 11:24:26 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 11:24:26 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 11:24:26 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 11:24:26 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 11:25:08 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-25 11:25:08 | INFO     | agent:set_database_context:159 | Setting database context: dbma_db
2026-02-25 11:25:08 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-25 11:25:08 | INFO     | agent:set_database_context:173 | Loaded thread thread_83cbff88cad849f966069413c4cb9bdc with 10 historical messages
2026-02-25 11:25:08 | INFO     | persistence:load_chat_history:279 | Loaded 10 messages for thread: thread_83cbff88cad849f966069413c4cb9bdc
2026-02-25 11:41:05 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 11:41:05 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 11:41:08 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 11:41:09 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 11:41:09 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 11:41:09 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 11:41:40 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-25 11:41:40 | INFO     | agent:set_database_context:159 | Setting database context: dbma_db
2026-02-25 11:41:40 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-25 11:41:40 | INFO     | agent:set_database_context:173 | Loaded thread thread_83cbff88cad849f966069413c4cb9bdc with 10 historical messages
2026-02-25 11:41:40 | INFO     | persistence:load_chat_history:279 | Loaded 10 messages for thread: thread_83cbff88cad849f966069413c4cb9bdc
2026-02-25 11:57:41 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 11:57:41 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 11:57:44 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 11:57:44 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 11:57:44 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 11:57:44 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 11:58:11 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-25 11:58:11 | INFO     | agent:set_database_context:159 | Setting database context: dbma_db
2026-02-25 11:58:11 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-25 11:58:11 | INFO     | agent:set_database_context:173 | Loaded thread thread_83cbff88cad849f966069413c4cb9bdc with 10 historical messages
2026-02-25 11:58:11 | INFO     | persistence:load_chat_history:279 | Loaded 10 messages for thread: thread_83cbff88cad849f966069413c4cb9bdc
2026-02-25 12:08:14 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 12:08:14 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 12:08:18 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 12:08:18 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 12:08:18 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 12:08:18 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 12:08:51 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-25 12:08:51 | INFO     | agent:set_database_context:159 | Setting database context: dbma_db
2026-02-25 12:08:52 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-25 12:08:52 | INFO     | agent:set_database_context:173 | Loaded thread thread_83cbff88cad849f966069413c4cb9bdc with 16 historical messages
2026-02-25 12:08:52 | INFO     | persistence:load_chat_history:279 | Loaded 16 messages for thread: thread_83cbff88cad849f966069413c4cb9bdc
2026-02-25 12:32:07 | INFO     | mysql_manager:use_database:126 | Switched to database: hospital_database
2026-02-25 12:32:07 | INFO     | agent:set_database_context:159 | Setting database context: hospital_database
2026-02-25 12:32:07 | INFO     | mysql_manager:use_database:126 | Switched to database: hospital_database
2026-02-25 12:32:07 | INFO     | agent:set_database_context:173 | Loaded thread thread_fa0cca9b014b55911dc56c38762bc40c with 4 historical messages
2026-02-25 12:32:07 | INFO     | persistence:load_chat_history:279 | Loaded 4 messages for thread: thread_fa0cca9b014b55911dc56c38762bc40c
2026-02-25 13:10:15 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-25 13:10:15 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-25 13:10:19 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-25 13:10:19 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-25 13:10:19 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-25 13:10:19 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-25 13:10:50 | INFO     | mysql_manager:use_database:126 | Switched to database: hospital_database
2026-02-25 13:10:50 | INFO     | agent:set_database_context:159 | Setting database context: hospital_database
2026-02-25 13:10:50 | INFO     | mysql_manager:use_database:126 | Switched to database: hospital_database
2026-02-25 13:10:50 | INFO     | agent:set_database_context:173 | Loaded thread thread_fa0cca9b014b55911dc56c38762bc40c with 12 historical messages
2026-02-25 13:10:50 | INFO     | persistence:load_chat_history:279 | Loaded 12 messages for thread: thread_fa0cca9b014b55911dc56c38762bc40c
2026-02-25 13:14:28 | INFO     | mysql_manager:use_database:126 | Switched to database: hospital_db
2026-02-25 13:14:28 | INFO     | agent:set_database_context:159 | Setting database context: hospital_db
2026-02-25 13:14:28 | INFO     | mysql_manager:use_database:126 | Switched to database: hospital_db
2026-02-25 13:14:28 | INFO     | mysql_manager:get_full_database_schema:327 | Extracting full schema for database: hospital_db
2026-02-25 13:14:28 | INFO     | persistence:save_schema_cache:378 | Schema cached for thread=thread_c03b0ca460ed1f136328a767f10269f9 tables=17
2026-02-25 13:14:28 | INFO     | agent:_refresh_schema:193 | Schema extracted and cached: 17 tables
2026-02-25 13:14:28 | INFO     | agent:set_database_context:173 | Loaded thread thread_c03b0ca460ed1f136328a767f10269f9 with 0 historical messages
2026-02-25 13:14:28 | INFO     | persistence:load_chat_history:279 | Loaded 0 messages for thread: thread_c03b0ca460ed1f136328a767f10269f9
2026-02-26 03:35:14 | INFO     | mysql_manager:use_database:126 | Switched to database: Hospital_Database
2026-02-26 03:35:14 | INFO     | agent:set_database_context:159 | Setting database context: Hospital_Database
2026-02-26 03:35:14 | INFO     | mysql_manager:use_database:126 | Switched to database: Hospital_Database
2026-02-26 03:35:14 | INFO     | mysql_manager:get_full_database_schema:327 | Extracting full schema for database: Hospital_Database
2026-02-26 03:35:14 | INFO     | persistence:save_schema_cache:378 | Schema cached for thread=thread_36514eb64aa910c63b88935726a25bfd tables=3
2026-02-26 03:35:14 | INFO     | agent:_refresh_schema:193 | Schema extracted and cached: 3 tables
2026-02-26 03:35:14 | INFO     | agent:set_database_context:173 | Loaded thread thread_36514eb64aa910c63b88935726a25bfd with 0 historical messages
2026-02-26 03:35:14 | INFO     | persistence:load_chat_history:279 | Loaded 0 messages for thread: thread_36514eb64aa910c63b88935726a25bfd
2026-02-26 03:38:19 | ERROR    | mysql_manager:execute_query:196 | Query failed: 1049 (42000): Unknown database 'desc'
Query: USE `desc`
2026-02-26 03:51:13 | ERROR    | mysql_manager:execute_query:196 | Query failed: 1054 (42S22): Unknown column 'p_id' in 'field list'
Query: INSERT INTO `patients` (`p_id`, `name`, `age`, `city`, `phone`, `disease`, `bill_amount`) VALUES (1, 'John Doe', 30, 'New York', '1234567890', 'Diabetes', 100.00), (2, 'Jane Smith', 25, 'Los Angeles', '0987654321', 'Hypertension', 200.00), (3, 'Bob Johnson', 40, 'Chicago', '5551234567', 'Asthma', 300.00), (4, 'Alice Brown', 35, 'Houston', '9012345678', 'Heart Disease', 400.00), (5, 'Mike Davis', 28, 'Phoenix', '1112223333', 'Kidney Disease', 500.00), (6, 'Emily Taylor', 32, 'Philadelphia', '4445556666', 'Stroke', 600.00), (7, 'David Lee', 38, 'San Antonio', '7778889999', 'Cancer', 700.00), (8, 'Sarah Kim', 29, 'San Diego', '0001112222', 'Tuberculosis', 800.00), (9, 'Kevin White', 42, 'Dallas', '3334445555', 'Pneumonia', 900.00), (10, 'Olivia Martin', 36, 'San Jose', '6667778888', 'Flu', 1000.00)
2026-02-26 03:54:40 | ERROR    | mysql_manager:execute_query:196 | Query failed: 1062 (23000): Duplicate entry '1' for key 'patients.PRIMARY'
Query: INSERT INTO `patients` (`patient_id`, `name`, `age`, `city`, `phone`, `disease`, `bill_amount`) VALUES (1, 'John Doe', 30, 'New York', '1234567890', 'Diabetes', 100.00), (2, 'Jane Smith', 25, 'Los Angeles', '0987654321', 'Hypertension', 200.00), (3, 'Bob Johnson', 40, 'Chicago', '5551234567', 'Asthma', 300.00), (4, 'Alice Brown', 35, 'Houston', '9012345678', 'Heart Disease', 400.00), (5, 'Mike Davis', 28, 'Phoenix', '1112223333', 'Kidney Disease', 500.00), (6, 'Emily Taylor', 32, 'Philadelphia', '4445556666', 'Stroke', 600.00), (7, 'David Lee', 38, 'San Antonio', '7778889999', 'Cancer', 700.00), (8, 'Sarah Kim', 29, 'San Diego', '0001112222', 'Tuberculosis', 800.00), (9, 'Kevin White', 42, 'Dallas', '3334445555', 'Pneumonia', 900.00), (10, 'Olivia Martin', 36, 'San Jose', '6667778888', 'Flu', 1000.00)
2026-02-26 03:59:20 | ERROR    | mysql_manager:execute_query:196 | Query failed: 1062 (23000): Duplicate entry '1' for key 'patients.PRIMARY'
Query: INSERT INTO `patients` (`patient_id`, `name`, `age`, `city`, `phone`, `disease`, `bill_amount`) VALUES (1, 'John Doe', 30, 'New York', '1234567890', 'Diabetes', 100.00), (2, 'Jane Smith', 25, 'Los Angeles', '0987654321', 'Hypertension', 200.00), (3, 'Bob Johnson', 40, 'Chicago', '5551234567', 'Asthma', 300.00), (4, 'Alice Brown', 35, 'Houston', '9012345678', 'Heart Disease', 400.00), (5, 'Mike Davis', 28, 'Phoenix', '1112223333', 'Kidney Disease', 500.00), (6, 'Emily Taylor', 32, 'Philadelphia', '4445556666', 'Stroke', 600.00), (7, 'David Lee', 38, 'San Antonio', '7778889999', 'Cancer', 700.00), (8, 'Sarah Kim', 29, 'San Diego', '0001112222', 'Tuberculosis', 800.00), (9, 'Kevin White', 42, 'Dallas', '3334445555', 'Pneumonia', 900.00), (10, 'Olivia Martin', 36, 'San Jose', '6667778888', 'Flu', 1000.00)
2026-02-26 04:48:49 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-26 04:48:49 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-26 04:48:54 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-26 04:48:54 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-26 04:48:54 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-26 04:48:54 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-26 04:49:34 | ERROR    | mysql_manager:execute_query:196 | Query failed: 1049 (42000): Unknown database 'hospital_databas'
Query: USE `hospital_databas`
2026-02-26 04:49:52 | INFO     | mysql_manager:use_database:126 | Switched to database: hospital_database
2026-02-26 04:49:52 | INFO     | agent:set_database_context:159 | Setting database context: hospital_database
2026-02-26 04:49:52 | INFO     | mysql_manager:use_database:126 | Switched to database: hospital_database
2026-02-26 04:49:52 | INFO     | agent:set_database_context:173 | Loaded thread thread_fa0cca9b014b55911dc56c38762bc40c with 18 historical messages
2026-02-26 04:49:52 | INFO     | persistence:load_chat_history:279 | Loaded 18 messages for thread: thread_fa0cca9b014b55911dc56c38762bc40c
2026-02-26 04:55:33 | ERROR    | mysql_manager:execute_query:196 | Query failed: 1701 (42000): Cannot truncate a table referenced in a foreign key constraint (`hospital_database`.`appointments`, CONSTRAINT `appointments_ibfk_1`)
Query: TRUNCATE TABLE `patients`
2026-02-26 05:01:56 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-26 05:01:56 | INFO     | agent:set_database_context:159 | Setting database context: dbma_db
2026-02-26 05:01:56 | INFO     | mysql_manager:use_database:126 | Switched to database: dbma_db
2026-02-26 05:01:56 | INFO     | agent:set_database_context:173 | Loaded thread thread_83cbff88cad849f966069413c4cb9bdc with 48 historical messages
2026-02-26 05:01:56 | INFO     | persistence:load_chat_history:279 | Loaded 48 messages for thread: thread_83cbff88cad849f966069413c4cb9bdc
2026-02-26 05:08:39 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-26 05:08:39 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-26 05:08:43 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-26 05:08:43 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-26 05:08:43 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-26 05:08:43 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-26 05:13:51 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-26 05:13:51 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-26 05:15:38 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-26 05:15:38 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-26 05:17:33 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-26 05:17:33 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-26 05:17:37 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-26 05:17:37 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-26 05:17:37 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-26 05:17:37 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-26 05:38:09 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-26 05:38:09 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-26 05:39:32 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-26 05:39:32 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-26 05:39:35 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-26 05:39:35 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-26 05:39:35 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-26 05:39:35 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-26 05:49:32 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-26 05:49:32 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-26 05:49:35 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-26 05:49:35 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-26 05:49:35 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-26 05:49:35 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-26 06:31:34 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-26 06:31:34 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-26 06:31:38 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-26 06:31:38 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-26 06:31:38 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-26 06:31:38 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-26 06:43:49 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-26 06:43:49 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-26 06:43:52 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-26 06:43:53 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-26 06:43:53 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-26 06:43:53 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
2026-02-26 06:47:29 | INFO     | logger:setup_logger:29 | DBMA Logger initialized
2026-02-26 06:47:29 | INFO     | main:launch_tui:78 | Starting DBMA v1.0.0 (TUI mode)
2026-02-26 06:47:32 | INFO     | mysql_manager:connect:82 | Connected to MySQL at localhost:3306
2026-02-26 06:47:32 | INFO     | persistence:connect:74 | Connected to PostgreSQL persistence DB: dbma_persistence
2026-02-26 06:47:32 | INFO     | persistence:initialize_schema:107 | PostgreSQL schema initialized successfully
2026-02-26 06:47:32 | INFO     | agent:__init__:147 | DBMAAgent initialized with model: llama3.1:8b
